BioProject	Run	Common Name
PRJNA641489	SRR12460444	ACC.11403
PRJNA641489	SRR12460445	ACC.8756
PRJNA641489	SRR12460446	ACC.11402
PRJNA641489	SRR12460447	ACC.11401
PRJNA641489	SRR12460448	ACC.11400
PRJNA641489	SRR12460449	ACC.11399
PRJNA641489	SRR12460450	ACC.11398
PRJNA641489	SRR12460451	ACC.11353
PRJNA641489	SRR12460452	ACC.8837
PRJNA641489	SRR12460453	ACC.8782
PRJNA641489	SRR12460454	ACC.8781
PRJNA641489	SRR12460455	ACC.8750
PRJNA641489	SRR12460456	ACC.8780
PRJNA641489	SRR12460457	ACC.8779
PRJNA641489	SRR12460458	ACC.8778
PRJNA641489	SRR12460459	ACC.8777
PRJNA641489	SRR12460460	ACC.8776
PRJNA641489	SRR12460461	ACC.8775
PRJNA641489	SRR12460462	ACC.8785
PRJNA641489	SRR12460463	ACC.8784
PRJNA641489	SRR12460464	ACC.8783
PRJNA641489	SRR12460465	ACC.8774
PRJNA641489	SRR12460466	ACC.8760
PRJNA641489	SRR12460467	ACC.8770
PRJNA641489	SRR12460469	ACC.29798
PRJNA641489	SRR12460470	ACC.29796
PRJNA641489	SRR12460471	ACC.29793
PRJNA641489	SRR12460472	ACC.8769
PRJNA641489	SRR12460473	ACC.29792
PRJNA641489	SRR12460474	ACC.29791
PRJNA641489	SRR12460475	ACC.29788
PRJNA641489	SRR12460476	ACC.29787
PRJNA641489	SRR12460477	ACC.29786
PRJNA641489	SRR12460478	ACC.29785
PRJNA641489	SRR12460479	ACC.27481a
PRJNA641489	SRR12460480	ACC.27479a
PRJNA641489	SRR12460481	ACC.27477
PRJNA641489	SRR12460482	ACC.27476
PRJNA641489	SRR12460483	ACC.27475
PRJNA641489	SRR12460484	ACC.27486
PRJNA641489	SRR12460485	ACC.27485
PRJNA641489	SRR12460486	ACC.27484
PRJNA641489	SRR12460487	ACC.27473
PRJNA641489	SRR12460488	ACC.8765
PRJNA641489	SRR12460489	ACC.27469
PRJNA641489	SRR12460490	ACC.27468
PRJNA641489	SRR12460491	ACC.27462
PRJNA641489	SRR12460492	ACC.27461
PRJNA641489	SRR12460493	ACC.27460
PRJNA641489	SRR12460494	ACC.27243
PRJNA641489	SRR12460495	ACC.27242
PRJNA641489	SRR12460496	ACC.27241
PRJNA641489	SRR12460497	ACC.27472
PRJNA641489	SRR12460498	ACC.27471
PRJNA641489	SRR12460499	ACC.8764
PRJNA641489	SRR12460500	ACC.27470
PRJNA641489	SRR12460501	ACC.27240
PRJNA641489	SRR12460502	ACC.27235
PRJNA641489	SRR12460503	ACC.27234
PRJNA641489	SRR12460504	ACC.27233
PRJNA641489	SRR12460505	ACC.27232
PRJNA641489	SRR12460506	ACC.27231
PRJNA641489	SRR12460507	ACC.27230
PRJNA641489	SRR12460508	ACC.27229
PRJNA641489	SRR12460509	ACC.27228
PRJNA641489	SRR12460510	ACC.8763
PRJNA641489	SRR12460511	ACC.27239
PRJNA641489	SRR12460512	ACC.27237
PRJNA641489	SRR12460513	ACC.27236
PRJNA641489	SRR12460514	ACC.27227
PRJNA641489	SRR12460515	ACC.27223
PRJNA641489	SRR12460516	ACC.27222
PRJNA641489	SRR12460517	ACC.27221
PRJNA641489	SRR12460518	ACC.27220
PRJNA641489	SRR12460519	ACC.27219
PRJNA641489	SRR12460520	ACC.27218
PRJNA641489	SRR12460521	ACC.8762
PRJNA641489	SRR12460522	ACC.27217
PRJNA641489	SRR12460523	ACC.27216
PRJNA641489	SRR12460524	ACC.27226
PRJNA641489	SRR12460525	ACC.27225
PRJNA641489	SRR12460526	ACC.27224
PRJNA641489	SRR12460527	ACC.27215
PRJNA641489	SRR12460528	ACC.13790
PRJNA641489	SRR12460529	ACC.13789
PRJNA641489	SRR12460530	ACC.13788
PRJNA260788	SRR1575495	B73
PRJNA260788	SRR1575496	CH10
PRJNA260788	SRR1575497	D06
PRJNA260788	SRR1575498	D09
PRJNA260788	SRR1575499	D152
PRJNA260788	SRR1575500	DK105
PRJNA260788	SRR1575501	EC169
PRJNA260788	SRR1575502	EC49A
PRJNA260788	SRR1575503	EP1
PRJNA260788	SRR1575504	EP44
PRJNA260788	SRR1575505	EZ5
PRJNA260788	SRR1575506	F03802
PRJNA260788	SRR1575507	F2
PRJNA260788	SRR1575508	F252
PRJNA260788	SRR1575509	F283
PRJNA260788	SRR1575510	F353
PRJNA260788	SRR1575511	F618
PRJNA260788	SRR1575512	F64
PRJNA260788	SRR1575513	F7
PRJNA260788	SRR1575514	F98902
PRJNA260788	SRR1575515	FF0721H-7
PRJNA260788	SRR1575516	Lo11
PRJNA260788	SRR1575517	Mo17
PRJNA260788	SRR1575518	PH207
PRJNA260788	SRR1575519	Teosinte
PRJNA260788	SRR1575520	UH006
PRJNA260788	SRR1575521	UH007
PRJNA260788	SRR1575522	UH009
PRJNA260788	SRR1575523	UH250
PRJNA260788	SRR1575524	UH304
PRJNA260788	SRR1575525	W117
PRJNA783885	SRR17045840	1014
PRJNA783885	SRR17045841	1013
PRJNA783885	SRR17045842	1012
PRJNA783885	SRR17045843	1011
PRJNA783885	SRR17045844	1010
PRJNA783885	SRR17045845	838
PRJNA783885	SRR17045846	1009
PRJNA783885	SRR17045847	1008
PRJNA783885	SRR17045848	1007
PRJNA783885	SRR17045849	1006
PRJNA783885	SRR17045850	1005
PRJNA783885	SRR17045851	1004
PRJNA783885	SRR17045852	1003
PRJNA783885	SRR17045853	1946
PRJNA783885	SRR17045854	1898
PRJNA783885	SRR17045855	1868
PRJNA783885	SRR17045856	837
PRJNA783885	SRR17045857	1867
PRJNA783885	SRR17045858	1862
PRJNA783885	SRR17045859	1859
PRJNA783885	SRR17045860	1810
PRJNA783885	SRR17045861	1777
PRJNA783885	SRR17045862	1759
PRJNA783885	SRR17045863	1755
PRJNA783885	SRR17045864	1754
PRJNA783885	SRR17045865	1740
PRJNA783885	SRR17045866	1727
PRJNA783885	SRR17045867	836
PRJNA783885	SRR17045868	1629
PRJNA783885	SRR17045869	1605
PRJNA783885	SRR17045870	1602
PRJNA783885	SRR17045871	1582
PRJNA783885	SRR17045872	1213
PRJNA783885	SRR17045873	1212
PRJNA783885	SRR17045874	1211
PRJNA783885	SRR17045875	1210
PRJNA783885	SRR17045876	1209
PRJNA783885	SRR17045877	14
PRJNA783885	SRR17045878	1208
PRJNA783885	SRR17045879	1207
PRJNA783885	SRR17045880	1206
PRJNA783885	SRR17045881	1205
PRJNA783885	SRR17045882	1204
PRJNA783885	SRR17045883	1203
PRJNA783885	SRR17045884	1202
PRJNA783885	SRR17045885	1201
PRJNA783885	SRR17045886	1200
PRJNA783885	SRR17045887	1199
PRJNA783885	SRR17045888	13
PRJNA783885	SRR17045889	1198
PRJNA783885	SRR17045890	1197
PRJNA783885	SRR17045891	1196
PRJNA783885	SRR17045892	1195
PRJNA783885	SRR17045893	1194
PRJNA783885	SRR17045894	1193
PRJNA783885	SRR17045895	1192
PRJNA783885	SRR17045896	1191
PRJNA783885	SRR17045897	1190
PRJNA783885	SRR17045898	1189
PRJNA783885	SRR17045899	12
PRJNA783885	SRR17045900	1188
PRJNA783885	SRR17045901	1187
PRJNA783885	SRR17045902	1186
PRJNA783885	SRR17045903	1185
PRJNA783885	SRR17045904	1184
PRJNA783885	SRR17045905	1183
PRJNA783885	SRR17045906	1182
PRJNA783885	SRR17045907	1181
PRJNA783885	SRR17045908	1180
PRJNA783885	SRR17045909	1179
PRJNA783885	SRR17045910	11
PRJNA783885	SRR17045911	1178
PRJNA783885	SRR17045912	1177
PRJNA783885	SRR17045913	1176
PRJNA783885	SRR17045914	1175
PRJNA783885	SRR17045915	1174
PRJNA783885	SRR17045916	1171
PRJNA783885	SRR17045917	1170
PRJNA783885	SRR17045918	1169
PRJNA783885	SRR17045919	1168
PRJNA783885	SRR17045920	1167
PRJNA783885	SRR17045921	1060
PRJNA783885	SRR17045922	1166
PRJNA783885	SRR17045923	1165
PRJNA783885	SRR17045924	1164
PRJNA783885	SRR17045925	1163
PRJNA783885	SRR17045926	1162
PRJNA783885	SRR17045927	1161
PRJNA783885	SRR17045928	1160
PRJNA783885	SRR17045929	1159
PRJNA783885	SRR17045930	1158
PRJNA783885	SRR17045931	1157
PRJNA783885	SRR17045932	10
PRJNA783885	SRR17045933	1156
PRJNA783885	SRR17045934	1155
PRJNA783885	SRR17045935	1154
PRJNA783885	SRR17045936	1123
PRJNA783885	SRR17045937	1121
PRJNA783885	SRR17045938	1120
PRJNA783885	SRR17045939	1119
PRJNA783885	SRR17045940	1118
PRJNA783885	SRR17045941	1117
