index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
191	ETH-001-barcode7mAP	ET-2022-3-1 	NA2	Fusarium graminearum			Ethiopia
192	ETH-001-barcode8mAP	ET-2022-17-1 	NA2	Fusarium graminearum			Ethiopia
193	ETH-001-barcode9mAP	ET-2022-21-1 	NA2	Fusarium graminearum			Ethiopia
194	F100mAP	F100	NA2	Fusarium graminearum	Hordeum vulgare	3	Norway
195	F10mAP	F10	Unknown	Fusarium graminearum	Triticum aestivum	3	Norway
196	F116mAP	F116	NA2	Fusarium graminearum	Avena sativa	3	Norway
197	F124mAP	F124	NA2	Fusarium graminearum	Avena sativa	3	Norway
198	F130mAP	F130	Unknown	Fusarium graminearum	Triticum aestivum	3	Norway
199	F131mAP	F131	Unknown	Fusarium graminearum	Avena sativa	3	Norway
200	F132mAP	F132	Unknown	Fusarium graminearum	Avena sativa	3	Norway
201	F13mAP	F13	Unknown	Fusarium graminearum	Triticum aestivum	3	Norway
202	F16mAP	F16	Unknown	Fusarium graminearum	Triticum aestivum	3	Norway
203	F272mAP	F272	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
204	F27mAP	F27	Unknown	Fusarium graminearum	Avena sativa	3	Norway
205	F322mAP	F322	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
206	F325mAP	F325	NA1	Fusarium graminearum	unknown	15	USA
207	F326mAP	F326	NA2	Fusarium graminearum	Triticum aestivum	3	USA
208	F327mAP	F327	NA1	Fusarium graminearum	Triticum aestivum	15	USA
209	F328mAP	F328	NA3	Fusarium graminearum	Triticum aestivum	3	USA
210	F329mAP	F329	NA2	Fusarium graminearum	Triticum aestivum	3	USA
211	F330mAP	F330	NA1	Fusarium graminearum	Triticum aestivum	15	USA
212	F331mAP	F331	NA1	Fusarium graminearum	Triticum aestivum	15	USA
213	F332mAP	F332	NA2	Fusarium graminearum	Triticum aestivum	3	USA
214	F333mAP	F333	NA1	Fusarium graminearum	Triticum aestivum	15	USA
215	F334mAP	F334	NA2	Fusarium graminearum	Triticum aestivum	3	USA
216	F335mAP	F335	NA2	Fusarium graminearum	Triticum aestivum	3	USA
217	F336mAP	F336	NA1	Fusarium graminearum	Triticum aestivum	15	USA
218	F337mAP	F337	NA1	Fusarium graminearum	Triticum aestivum	15	USA
219	F338mAP	F338	NA1	Fusarium graminearum	Triticum aestivum	15	USA
220	F339mAP	F339	NA2	Fusarium graminearum	Triticum aestivum	15	USA
221	F340mAP	F340	NA1	Fusarium graminearum	Triticum aestivum	15	USA
222	F341mAP	F341	NA2	Fusarium graminearum	Triticum aestivum	3	USA
223	F342mAP	F342	NA1	Fusarium graminearum	Triticum aestivum	15	USA
224	F343mAP	F343	NA2	Fusarium graminearum	Triticum aestivum	3	USA
225	F344mAP	F344	NA1	Fusarium graminearum	Triticum aestivum	15	USA
226	F347mAP	F347	NA2	Fusarium graminearum	Hordeum vulgare	15	South Korea
227	F348mAP	F348	Admixture	Fusarium graminearum	Hordeum vulgare	15	South Korea
228	F351mAP	F351	NA2	Fusarium graminearum	Hordeum vulgare	3	South Korea
229	F353mAP	F353	Admixture	Fusarium graminearum	Hordeum vulgare	15	South Korea
230	F354mAP	F354	NA2	Fusarium graminearum	Hordeum vulgare	3	South Korea
231	F356mAP	F356	NA2	Fusarium graminearum	Hordeum vulgare	3	South Korea
232	F366mAP	F366	NA1	Fusarium graminearum	Triticum aestivum	15	South Korea
233	F367mAP	F367	NA2	Fusarium graminearum	Triticum aestivum	15	South Korea
234	F368mAP	F368	NA2	Fusarium graminearum	Triticum aestivum	15	South Korea
235	F387mAP	F387	NA2	Fusarium graminearum	Hordeum vulgare	15	South Korea
236	F398mAP	F398	NA2	Fusarium graminearum	Triticum aestivum	15	South Korea
237	F399mAP	F399	Unknown	Fusarium graminearum	Triticum aestivum	3	South Korea
238	F501mAP	F501	Outgroups	Fusarium  boothii	Triticum aestivum	15	Mexico
239	F522mAP	F522	Outgroups	Fusarium  boothii	Triticum aestivum	15	Mexico
240	F535mAP	F535	Outgroups	Fusarium  boothii	Triticum aestivum	15	Mexico
241	F537mAP	F537	Outgroups	Fusarium  boothii	Triticum aestivum	15	Mexico
242	F55mAP	F55	Unknown	Fusarium graminearum	Triticum aestivum	3	Norway
243	F562mAP	F562	Outgroups	Fusarium  boothii	Triticum aestivum	15	Mexico
244	F60mAP	F60	Unknown	Fusarium graminearum	Avena sativa	3	Norway
245	F68mAP	F68	NA2	Fusarium graminearum	Hordeum vulgare	15	Germany
246	F6mAP	F6	Unknown	Fusarium graminearum	Avena sativa	3	Norway
247	F96mAP	F96	NA2	Fusarium graminearum	Avena sativa	3	Norway
248	FG4mAP	FHK91	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
